Rk,G,Season,Age,Tm,Opp,W/L,GS,MP,MP1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,50,16-17,28-327,GSW,SAC,L (-3),1,41.45,41:45,11,20,0.55,8,14,0.571,5,6,0.833,0,4,4,9,3,0,3,2,35,31.7,4
52,51,16-17,28-331,GSW,CHI,W (+31),1,28.12,28:12,5,11,0.455,1,4,0.25,2,2,1,0,1,1,6,1,0,2,4,13,9.2,20
53,52,16-17,28-333,GSW,MEM,W (+15),1,34.51,34:51,6,13,0.462,2,6,0.333,4,5,0.8,0,4,4,5,0,0,3,3,18,11.4,15
54,53,16-17,28-334,GSW,OKC,W (+16),1,33.54,33:54,9,19,0.474,4,11,0.364,4,4,1,3,5,8,9,2,0,0,2,26,27.4,16
55,54,16-17,28-336,GSW,DEN,L (-22),1,26.42,26:42,4,18,0.222,1,11,0.091,2,2,1,1,1,2,5,1,0,1,1,11,4.1,-24
56,55,16-17,28-338,GSW,SAC,W (+23),1,30.03,30:03,4,14,0.286,2,8,0.25,3,4,0.75,0,6,6,9,0,2,3,2,13,10.1,23
57,56,16-17,28-346,GSW,LAC,W (+10),1,32.11,32:11,10,16,0.625,6,10,0.6,9,10,0.9,1,6,7,5,4,0,4,5,35,31.4,26
58,57,16-17,28-348,GSW,BRK,W (+17),1,34.55,34:55,9,21,0.429,5,10,0.5,4,4,1,1,4,5,5,3,0,4,2,27,19.5,17
59,58,16-17,28-350,GSW,PHI,W (+11),1,34.48,34:48,7,23,0.304,0,11,0,5,5,1,2,2,4,6,2,0,4,2,19,9.1,8
60,59,16-17,28-351,GSW,WAS,L (-4),1,34.14,34:14,9,20,0.45,2,9,0.222,5,6,0.833,4,3,7,4,2,0,5,3,25,16.5,-5
61,60,16-17,28-353,GSW,CHI,L (-7),1,35.28,35:28,10,27,0.37,2,11,0.182,1,1,1,1,5,6,5,5,0,4,4,23,13.2,-4
62,61,16-17,28-356,GSW,NYK,W (+7),1,36.51,36:51,11,24,0.458,5,13,0.385,4,6,0.667,2,6,8,6,2,0,2,2,31,24.4,22
63,62,16-17,28-357,GSW,ATL,W (+8),1,34.31,34:31,8,20,0.4,6,15,0.4,2,3,0.667,1,3,4,9,0,0,2,4,24,17.1,5
64,63,16-17,28-359,GSW,BOS,L (-13),1,35.08,35:08,8,16,0.5,2,9,0.222,5,5,1,3,2,5,6,0,1,4,4,23,17,-3
65,64,16-17,28-361,GSW,MIN,L (-1),1,35.18,35:18,10,27,0.37,1,8,0.125,5,5,1,3,3,6,7,1,0,6,4,26,12.4,-5
