Rk,Player,Season,Age,Tm,Lg,3P%,3PA,TS%,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,eFG%,FT%
63,Mike Miller,2007-08,27,MEM,NBA,0.432,359,0.625,70,70,2474,8.4,16.8,5.3,9.5,3.2,7.3,3.3,4.3,1,8.5,9.5,4.9,0.7,0.3,3.7,3,23.3,0.502,0.557,0.596,0.774
64,Damon Jones,2004-05,28,MIA,NBA,0.432,521,0.625,82,66,2576,6.8,14.9,2.2,4.2,4.6,10.7,1.4,1.8,0.3,4.5,4.7,7.2,0.9,0.1,2,2.5,19.6,0.456,0.517,0.611,0.791
65,Reggie Miller,1995-96,30,IND,NBA,0.41,410,0.625,76,76,2621,10.3,21.9,6.9,13.5,3.4,8.4,8.8,10.2,0.8,3.6,4.4,5.2,1.6,0.3,3.9,3.6,32.9,0.473,0.512,0.552,0.863
66,Brent Price,1998-99,30,HOU,NBA,0.411,112,0.624,40,6,806,6.7,13.9,3.6,6.4,3.1,7.5,3.1,4.1,1.2,4,5.2,7.6,2.2,0.1,4.4,6,19.6,0.483,0.568,0.594,0.754
67,Peja Stojakovic,2003-04,26,SAC,NBA,0.433,554,0.624,81,81,3264,10.5,22,6.7,13.2,3.8,8.8,6.2,6.7,1.4,6.6,8.1,2.7,1.7,0.2,2.4,2.5,31.1,0.48,0.511,0.566,0.927
68,Stephen Curry,2016-17,28,GSW,NBA,0.411,789,0.624,79,79,2638,12.3,26.3,6.4,11.9,5.9,14.4,5.9,6.6,1.1,5.3,6.4,9.6,2.6,0.3,4.4,3.3,36.5,0.468,0.537,0.58,0.898
69,Ray Allen,2008-09,33,BOS,NBA,0.409,486,0.624,79,79,2876,9.2,19.2,5.5,10.2,3.7,9,4.4,4.6,1.2,3.9,5.1,4,1.3,0.2,2.5,2.9,26.5,0.48,0.542,0.575,0.952
70,Jon Barry,1999-00,30,SAC,NBA,0.429,154,0.623,62,1,1281,6.1,13.1,3.6,7.2,2.5,5.8,4,4.4,1.4,4.6,6,5.7,2.8,0.3,3.2,3.9,18.7,0.465,0.495,0.561,0.922
71,Shane Battier,2012-13,34,MIA,NBA,0.43,316,0.623,72,20,1786,4.5,10.7,0.5,1.4,4,9.4,0.9,1.1,1.1,3.8,4.9,2.1,1.2,1.6,1,4.4,14,0.42,0.348,0.608,0.842
72,Mark Price,1988-89,24,CLE,NBA,0.441,211,0.623,75,74,2728,9.5,18.1,7.8,14.3,1.7,3.8,4.7,5.2,0.9,3.2,4.1,11.3,2.1,0.1,3.8,1.8,25.4,0.526,0.548,0.572,0.901
73,Kyle Lowry,2016-17,30,TOR,NBA,0.412,468,0.623,60,60,2244,9.6,20.7,5.3,10.2,4.4,10.6,6.8,8.2,1.1,5.4,6.5,9.4,2,0.4,3.9,3.8,30.4,0.464,0.518,0.569,0.819
74,Joe Ingles,2017-18,30,UTA,NBA,0.44,464,0.623,82,81,2578,6.5,14,2.5,4.9,4,9,1.3,1.6,0.5,6.2,6.7,7.6,1.8,0.4,3.1,3.5,18.3,0.467,0.516,0.609,0.795
75,Mike Miller,2009-10,29,WAS,NBA,0.48,171,0.623,54,50,1805,6.3,12.6,3.9,7.6,2.4,5,2,2.5,1.6,8.2,9.8,6.2,1.1,0.3,3.3,3.8,17,0.501,0.515,0.596,0.824
76,Hersey Hawkins,1994-95,28,CHH,NBA,0.44,298,0.622,82,82,2731,7.5,15.6,5,9.9,2.5,5.7,5,5.8,1.2,4.9,6.1,5.1,2.4,0.3,2.9,3.4,22.6,0.482,0.507,0.563,0.867
77,J.J. Redick,2014-15,30,LAC,NBA,0.437,458,0.622,78,78,2409,9.4,19.7,5.2,10.1,4.2,9.6,3.9,4.3,0.5,3.1,3.5,2.9,0.8,0.2,2,2.8,26.9,0.477,0.515,0.583,0.901
78,Arron Afflalo,2010-11,25,DEN,NBA,0.423,248,0.62,69,69,2324,6.7,13.5,4.5,8.2,2.3,5.4,3,3.5,1,4.5,5.4,3.6,0.7,0.7,1.5,3.3,18.7,0.498,0.546,0.581,0.847
79,Reggie Miller,1994-95,29,IND,NBA,0.415,470,0.62,81,81,2665,10.1,21.8,6.2,12.4,3.9,9.4,7.7,8.5,0.6,3.6,4.2,4.8,2,0.3,3,3.1,31.8,0.462,0.498,0.552,0.897
80,Kyle Korver,2009-10,28,UTA,NBA,0.536,110,0.62,52,0,952,7.4,15,4.2,9.1,3.2,5.9,2.1,2.6,0.5,5.4,6,4.8,1.4,0.6,2.3,4.1,20.1,0.493,0.465,0.598,0.796
81,Jeff Hornacek,1994-95,31,UTA,NBA,0.406,219,0.62,81,81,2696,9.3,18,7.6,13.8,1.7,4.2,5.5,6.2,1,3,4,6.7,2.5,0.3,2.8,3.5,25.7,0.514,0.547,0.562,0.882
82,Chauncey Billups,2007-08,31,DET,NBA,0.401,342,0.619,78,78,2522,8.6,19.1,5.6,11.7,3,7.5,8.7,9.5,0.9,3.7,4.6,11.5,2.2,0.4,3.5,2.8,28.9,0.448,0.479,0.526,0.918
83,Mike Miller,2013-14,33,MEM,NBA,0.459,233,0.619,82,4,1707,6.7,13.9,3.3,6.6,3.3,7.3,1.4,1.8,0.9,5.5,6.5,4.1,0.8,0.2,2.4,3,18.1,0.481,0.505,0.602,0.821
